stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
0,5000,0.0500,4892,5790.69,5790.69
0,10000,0.1000,9714,11110.40,11110.40
0,15000,0.1500,14506,14976.68,14976.68
0,20000,0.2000,19313,19444.32,19444.32
0,25000,0.2500,24129,25053.25,25053.25
0,30000,0.3000,28920,28511.62,28511.62
0,35000,0.3500,33691,33468.12,33468.12
0,40000,0.4000,38466,37828.10,37828.10
0,45000,0.4500,43241,44891.70,44891.70
0,50000,0.5000,48041,48831.16,48831.16
0,55000,0.5500,52843,51848.02,51848.02
0,60000,0.6000,57592,55151.55,55151.55
0,65000,0.6500,62361,59171.35,59171.35
0,70000,0.7000,67132,63256.52,63256.52
0,75000,0.7500,71896,67686.71,67686.71
0,80000,0.8000,76670,71804.98,71804.98
0,85000,0.8500,81412,77802.76,77802.76
0,90000,0.9000,86143,82346.78,82346.78
0,95000,0.9500,90878,88793.64,88793.64
0,100000,1.0000,95597,93531.74,93531.74
1,5000,0.0500,4904,4786.20,4786.20
1,10000,0.1000,9705,9766.68,9766.68
1,15000,0.1500,14548,14809.20,14809.20
1,20000,0.2000,19375,21459.45,21459.45
1,25000,0.2500,24193,26121.24,26121.24
1,30000,0.3000,28984,28801.83,28801.83
1,35000,0.3500,33787,33679.40,33679.40
1,40000,0.4000,38579,38925.06,38925.06
1,45000,0.4500,43366,42312.00,42312.00
1,50000,0.5000,48117,46053.93,46053.93
1,55000,0.5500,52885,52292.95,52292.95
1,60000,0.6000,57640,56350.63,56350.63
1,65000,0.6500,62406,58959.03,58959.03
1,70000,0.7000,67188,62418.52,62418.52
1,75000,0.7500,71949,65326.39,65326.39
1,80000,0.8000,76681,68625.14,68625.14
1,85000,0.8500,81423,75965.93,75965.93
1,90000,0.9000,86149,80358.88,80358.88
1,95000,0.9500,90867,86023.61,86023.61
1,100000,1.0000,95633,90272.72,90272.72
2,5000,0.0500,4887,4788.34,4788.34
2,10000,0.1000,9711,8910.50,8910.50
2,15000,0.1500,14509,12030.69,12030.69
2,20000,0.2000,19307,16291.75,16291.75
2,25000,0.2500,24118,20896.69,20896.69
2,30000,0.3000,28907,24669.20,24669.20
2,35000,0.3500,33722,31459.57,31459.57
2,40000,0.4000,38506,36074.20,36074.20
2,45000,0.4500,43295,41546.57,41546.57
2,50000,0.5000,48080,44334.93,44334.93
2,55000,0.5500,52871,49719.69,49719.69
2,60000,0.6000,57641,55326.63,55326.63
2,65000,0.6500,62399,58708.53,58708.53
2,70000,0.7000,67154,63171.03,63171.03
2,75000,0.7500,71941,67731.30,67731.30
2,80000,0.8000,76698,73056.51,73056.51
2,85000,0.8500,81420,76688.72,76688.72
2,90000,0.9000,86156,82567.17,82567.17
2,95000,0.9500,90908,88003.35,88003.35
2,100000,1.0000,95617,93316.72,93316.72
3,5000,0.0500,4900,5048.30,5048.30
